variable,group,value 
Kanttarelli,2020-06-01,18
Kanttarelli,2020-07-01,50
Kanttarelli,2020-07-01,67
Kanttarelli,2020-08-01,67
Kanttarelli,2020-08-01,129
Kanttarelli,2020-09-01,99
Kanttarelli,2020-09-01,87
Kanttarelli,2020-10-01,39
Kanttarelli,2020-10-01,23
Kanttarelli,2020-11-01,16
Kanttarelli,2020-11-01,6
Kanttarelli,2020-12-01,6
Kanttarelli,2020-12-01,5
Suppilovahvero,2020-06-01,1
Suppilovahvero,2020-07-01,0
Suppilovahvero,2020-07-01,0
Suppilovahvero,2020-08-01,8
Suppilovahvero,2020-08-01,43
Suppilovahvero,2020-09-01,95
Suppilovahvero,2020-09-01,176
Suppilovahvero,2020-10-01,102
Suppilovahvero,2020-10-01,81
Suppilovahvero,2020-11-01,32
Suppilovahvero,2020-11-01,12
Suppilovahvero,2020-12-01,7
Suppilovahvero,2020-12-01,7
Mustatorvisieni,2020-06-01,1
Mustatorvisieni,2020-07-01,0
Mustatorvisieni,2020-07-01,3
Mustatorvisieni,2020-08-01,16
Mustatorvisieni,2020-08-01,57
Mustatorvisieni,2020-09-01,56
Mustatorvisieni,2020-09-01,44
Mustatorvisieni,2020-10-01,15
Mustatorvisieni,2020-10-01,4
Mustatorvisieni,2020-11-01,2
Mustatorvisieni,2020-11-01,0
Mustatorvisieni,2020-12-01,0
Mustatorvisieni,2020-12-01,0
Kangasrousku,2020-06-01,3
Kangasrousku,2020-07-01,11
Kangasrousku,2020-07-01,29
Kangasrousku,2020-08-01,37
Kangasrousku,2020-08-01,89
Kangasrousku,2020-09-01,112
Kangasrousku,2020-09-01,108
Kangasrousku,2020-10-01,56
Kangasrousku,2020-10-01,12
Kangasrousku,2020-11-01,0
Kangasrousku,2020-11-01,0
Kangasrousku,2020-12-01,0
Kangasrousku,2020-12-01,1
