group,variable,value
Kesäkuun loppu,Kanttarelli,18
Kesäkuun loppu,Suppilovahvero,1
Kesäkuun loppu,Mustatorvisieni,1
Kesäkuun loppu,Kangasrousku,3
Kesäkuun loppu,Limanuljaska,2
Kesäkuun loppu,Kehnäsieni,0
Kesäkuun loppu,Pohjanmesisieni,0
Kesäkuun loppu,Lampaankääpä,1
Kesäkuun loppu,Talvijuurekas,0
Kesäkuun loppu,Hallavahakas,0
Kesäkuun loppu,Mustavahakas,0
Kesäkuun loppu,Koivunpunikkitatti,31
Heinäkuun alku,Kanttarelli,50
Heinäkuun alku,Suppilovahvero,0
Heinäkuun alku,Mustatorvisieni,0
Heinäkuun alku,Kangasrousku,11
Heinäkuun alku,Limanuljaska,4
Heinäkuun alku,Kehnäsieni,3
Heinäkuun alku,Pohjanmesisieni,5
Heinäkuun alku,Lampaankääpä,2
Heinäkuun alku,Talvijuurekas,0
Heinäkuun alku,Hallavahakas,0
Heinäkuun alku,Mustavahakas,0
Heinäkuun alku,Koivunpunikkitatti,25
Heinäkuun loppu,Kanttarelli,67
Heinäkuun loppu,Suppilovahvero,0
Heinäkuun loppu,Mustatorvisieni,3
Heinäkuun loppu,Kangasrousku,29
Heinäkuun loppu,Limanuljaska,12
Heinäkuun loppu,Kehnäsieni,12
Heinäkuun loppu,Pohjanmesisieni,9
Heinäkuun loppu,Lampaankääpä,6
Heinäkuun loppu,Talvijuurekas,0
Heinäkuun loppu,Hallavahakas,0
Heinäkuun loppu,Mustavahakas,1
Heinäkuun loppu,Koivunpunikkitatti,33
Elokuun alku,Kanttarelli,67
Elokuun alku,Suppilovahvero,8
Elokuun alku,Mustatorvisieni,16
Elokuun alku,Kangasrousku,37
Elokuun alku,Limanuljaska,11
Elokuun alku,Kehnäsieni,24
Elokuun alku,Pohjanmesisieni,10
Elokuun alku,Lampaankääpä,11
Elokuun alku,Talvijuurekas,0
Elokuun alku,Hallavahakas,0
Elokuun alku,Mustavahakas,1
Elokuun alku,Koivunpunikkitatti,19
Elokuun loppu,Kanttarelli,129
Elokuun loppu,Suppilovahvero,43
Elokuun loppu,Mustatorvisieni,57
Elokuun loppu,Kangasrousku,89
Elokuun loppu,Limanuljaska,73
Elokuun loppu,Kehnäsieni,50
Elokuun loppu,Pohjanmesisieni,47
Elokuun loppu,Lampaankääpä,36
Elokuun loppu,Talvijuurekas,4
Elokuun loppu,Hallavahakas,1
