time,Kanttarelli,Suppilovahvero,Mustatorvisieni,Kangasrousku,Limanuljaska,Kehnäsieni,Pohjanmesieni,Lampaankääpä,Talvijuurekas,Hallavahakas,Mustavahakas,Koivunpunikkitatti
"16.-30.6.",18,1,1,3,2,0,0,1,0,0,0,31
"1.-15.7.",2,50,0,0,11,4,3,5,2,0,0,0,25
"16.-31.7.",3,67,0,3,29,12,12,9,6,0,0,1,33
"1.-15.8.",4,67,8,16,37,11,24,10,11,0,0,1,19
"16.-31.8.",5,129,43,57,89,73,50,47,36,4,1,25,75
"1.-15.9.",6,99,95,56,112,82,79,158,58,3,3,38,53
"16.-30.9.",7,87,176,44,108,88,89,124,50,5,37,52,34
"1.-15.10.",8,39,102,15,56,38,28,40,25,19,40,16,11
"16.-31.10.",9,23,81,4,12,7,3,9,6,31,55,1,1
"1.-15.11.",10,16,32,2,0,0,0,0,0,38,23,0,0
"16.-30.11.",11,6,12,0,0,0,0,0,0,38,15,0,0
"1.-15.12.",12,6,7,0,0,0,0,0,0,16,4,0,0
"16.-31.12.",13,5,7,0,1,0,0,0,0,12,3,0,0
